gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1563885232,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-501e,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.915,136.05,200.0,,,,0.0,0.0,2005-05-18T04:16:09Z,18,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-501e,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.637Z,,COORDINATE_PRECISION_INVALID
1563885231,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5011,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.714,136.11,200.0,,,,0.0,0.0,2005-05-21T12:40:23Z,21,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5011,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.637Z,,COORDINATE_PRECISION_INVALID
1563885230,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-502b,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.958,135.95,200.0,,,,0.0,0.0,2005-05-16T23:13:55Z,16,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-502b,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.639Z,,COORDINATE_PRECISION_INVALID
1563885229,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-4ff7,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.738,135.915,200.0,,,,0.0,0.0,2005-05-25T08:41:22Z,25,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-4ff7,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.637Z,,COORDINATE_PRECISION_INVALID
1563885228,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-503c,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-12.039,136.415,200.0,,,,0.0,0.0,2005-05-13T08:46:03Z,13,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-503c,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.637Z,,COORDINATE_PRECISION_INVALID
1563885227,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-502d,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-12.232,136.149,200.0,,,,0.0,0.0,2005-05-16T20:31:40Z,16,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-502d,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.638Z,,COORDINATE_PRECISION_INVALID
1563885226,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5029,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-12.061,136.423,200.0,,,,0.0,0.0,2005-05-17T01:07:46Z,17,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5029,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.638Z,,COORDINATE_PRECISION_INVALID
1563885225,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5020,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.877,136.051,200.0,,,,0.0,0.0,2005-05-18T00:41:30Z,18,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5020,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.638Z,,COORDINATE_PRECISION_INVALID
1563885224,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5012,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.718,135.92,200.0,,,,0.0,0.0,2005-05-21T08:58:57Z,21,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5012,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.637Z,,COORDINATE_PRECISION_INVALID
1563885223,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5038,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.898,136.437,200.0,,,,0.0,0.0,2005-05-15T10:36:17Z,15,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5038,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.641Z,,COORDINATE_PRECISION_INVALID
